epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,165.699,1.32448,2.97154,1.11825,0.52867,0.37318,0.38901,0.23696,1.11199,1.10557,1.09338,0.000831297,0.000277099,0.000831297,0.000277099,0.000831297,0.000277099,0.000831297,0.000277099
2,266.711,1.10648,1.0827,1.09553,0.76538,0.53542,0.60698,0.39119,0.99274,0.74221,1.04176,0.00162311,0.000541035,0.00162311,0.000541035,0.00162311,0.000541035,0.00162311,0.000541035
3,356.467,1.02904,0.87112,1.05663,0.65657,0.69856,0.71968,0.46733,0.96757,0.66927,1.03522,0.00237368,0.000791227,0.00237368,0.000791227,0.00237368,0.000791227,0.00237368,0.000791227
4,441.697,1,0.8045,1.03722,0.76988,0.7183,0.76868,0.50447,0.9392,0.63026,1.01905,0.00231345,0.00077115,0.00231345,0.00077115,0.00231345,0.00077115,0.00231345,0.00077115
5,527.889,0.97357,0.7503,1.0221,0.77543,0.74506,0.79893,0.53161,0.92565,0.59607,1.01124,0.0022516,0.000750533,0.0022516,0.000750533,0.0022516,0.000750533,0.0022516,0.000750533
6,613.305,0.95754,0.72038,1.01387,0.80652,0.7435,0.81622,0.54285,0.91607,0.5804,1.00289,0.00218975,0.000729916,0.00218975,0.000729916,0.00218975,0.000729916,0.00218975,0.000729916
7,699.628,0.949,0.69864,1.00769,0.80155,0.74975,0.81372,0.54134,0.91759,0.57786,1.00625,0.0021279,0.000709299,0.0021279,0.000709299,0.0021279,0.000709299,0.0021279,0.000709299
8,784.944,0.93405,0.68034,1.00245,0.81659,0.76575,0.83726,0.56408,0.90385,0.55228,0.99918,0.00206605,0.000688683,0.00206605,0.000688683,0.00206605,0.000688683,0.00206605,0.000688683
9,872.443,0.92662,0.66122,0.99824,0.83789,0.75528,0.83708,0.56645,0.89222,0.54474,0.99428,0.0020042,0.000668066,0.0020042,0.000668066,0.0020042,0.000668066,0.0020042,0.000668066
10,957.055,0.91659,0.64728,0.99328,0.84034,0.76172,0.83946,0.56685,0.89329,0.53533,0.99274,0.00194235,0.000647449,0.00194235,0.000647449,0.00194235,0.000647449,0.00194235,0.000647449
11,1041.53,0.90376,0.6328,0.98818,0.82239,0.76982,0.83178,0.56603,0.88778,0.53251,0.98854,0.0018805,0.000626832,0.0018805,0.000626832,0.0018805,0.000626832,0.0018805,0.000626832
12,1126.37,0.90508,0.62819,0.98714,0.81236,0.78852,0.83601,0.57182,0.88598,0.52434,0.98998,0.00181865,0.000606216,0.00181865,0.000606216,0.00181865,0.000606216,0.00181865,0.000606216
13,1211.31,0.89053,0.61253,0.98371,0.81153,0.77976,0.84148,0.57265,0.8783,0.51986,0.98419,0.0017568,0.000585599,0.0017568,0.000585599,0.0017568,0.000585599,0.0017568,0.000585599
14,1296.26,0.89248,0.6077,0.98097,0.80967,0.78869,0.84501,0.57302,0.87546,0.51256,0.98404,0.00169495,0.000564982,0.00169495,0.000564982,0.00169495,0.000564982,0.00169495,0.000564982
15,1381.2,0.89232,0.60045,0.98225,0.81913,0.78895,0.84456,0.57831,0.87049,0.50783,0.98497,0.0016331,0.000544365,0.0016331,0.000544365,0.0016331,0.000544365,0.0016331,0.000544365
16,1466.06,0.88557,0.59541,0.98047,0.819,0.79073,0.84379,0.57494,0.87527,0.50349,0.98317,0.00157125,0.000523749,0.00157125,0.000523749,0.00157125,0.000523749,0.00157125,0.000523749
17,1552.73,0.8755,0.58129,0.97561,0.8266,0.79001,0.84604,0.58125,0.86689,0.49773,0.97842,0.0015094,0.000503132,0.0015094,0.000503132,0.0015094,0.000503132,0.0015094,0.000503132
18,1638.19,0.87467,0.57944,0.97509,0.81327,0.80202,0.84798,0.5764,0.86983,0.49742,0.98042,0.00144755,0.000482515,0.00144755,0.000482515,0.00144755,0.000482515,0.00144755,0.000482515
19,1723.46,0.86582,0.57285,0.97233,0.83387,0.79603,0.85174,0.58186,0.86262,0.48952,0.97958,0.0013857,0.000461898,0.0013857,0.000461898,0.0013857,0.000461898,0.0013857,0.000461898
20,1809.46,0.86919,0.57062,0.9716,0.80902,0.80186,0.84873,0.58357,0.86262,0.4906,0.9782,0.00132385,0.000441282,0.00132385,0.000441282,0.00132385,0.000441282,0.00132385,0.000441282
21,1893.86,0.85999,0.56127,0.97156,0.8277,0.79385,0.84719,0.58311,0.86028,0.48743,0.97686,0.00126199,0.000420665,0.00126199,0.000420665,0.00126199,0.000420665,0.00126199,0.000420665
22,1978.29,0.85524,0.55699,0.96751,0.84129,0.79074,0.85817,0.59123,0.85789,0.48255,0.97683,0.00120014,0.000400048,0.00120014,0.000400048,0.00120014,0.000400048,0.00120014,0.000400048
23,2061.78,0.84817,0.54844,0.96432,0.82743,0.80601,0.85921,0.59314,0.85627,0.48216,0.97733,0.00113829,0.000379431,0.00113829,0.000379431,0.00113829,0.000379431,0.00113829,0.000379431
24,2147.22,0.84952,0.54856,0.96426,0.83386,0.78742,0.85452,0.58973,0.85414,0.48015,0.97674,0.00107644,0.000358815,0.00107644,0.000358815,0.00107644,0.000358815,0.00107644,0.000358815
25,2232.29,0.84918,0.54396,0.96225,0.83515,0.78272,0.85374,0.59376,0.85177,0.47801,0.97328,0.00101459,0.000338198,0.00101459,0.000338198,0.00101459,0.000338198,0.00101459,0.000338198
26,2316.58,0.84178,0.53948,0.96038,0.83365,0.80165,0.86142,0.59744,0.84775,0.47043,0.97207,0.000952744,0.000317581,0.000952744,0.000317581,0.000952744,0.000317581,0.000952744,0.000317581
27,2401.95,0.84397,0.53648,0.96138,0.84976,0.80005,0.86737,0.6016,0.85067,0.46937,0.97571,0.000890893,0.000296964,0.000890893,0.000296964,0.000890893,0.000296964,0.000890893,0.000296964
